iso_code,country_name,epi_score,epi_eco,epi_hlt,epi_bdh,epi_cch,epi_air,epi_h2o,epi_wmg,epi_agr,n_firms,br_env,co2_monitoring_pct,energy_mgmt_pct
SLE,Sierra Leone,39.9,39.4,33.3,45.3,46.8,38.1,17.7,32.8,40.1,209.0,18.08272039133333,12.935323383084576,26.923076923076923
SLV,El Salvador,41.6,44.8,30.1,35.5,46.4,22.8,50.1,27.4,62.3,729.0,27.25748893338888,7.670850767085077,17.24137931034483
SRB,Serbia,49.8,57.4,43.6,53.4,43.6,31.6,82.0,26.4,71.4,502.0,,13.184584178498987,28.799999999999997
SSD,South Sudan,,,,,,,,,,157.0,,12.101910828025478,35.6687898089172
STP,Sao Tome and Principe,36.2,32.0,39.8,33.2,38.6,40.9,37.7,27.8,31.7,,,,
SUR,Suriname,56.9,64.6,59.0,64.8,43.6,68.3,43.2,13.1,62.8,,,,
SVK,Slovakia,65.1,78.3,60.7,81.9,48.9,50.5,92.6,53.4,67.4,464.0,44.614329138737375,14.038876889848812,40.692640692640694
SVN,Slovenia,62.4,67.4,59.2,64.9,57.5,45.8,91.2,53.6,56.7,402.0,,23.383084577114428,60.75000000000001
SWE,Sweden,70.3,66.8,85.5,60.0,62.9,81.1,96.9,72.7,73.2,600.0,,43.288590604026844,80.96828046744574
SWZ,Eswatini,38.7,39.1,22.1,29.8,52.9,22.4,18.2,22.8,51.7,156.0,,27.09677419354839,37.17948717948718
SYC,Seychelles,47.9,47.4,71.7,50.5,27.3,80.0,54.6,32.0,58.0,103.0,26.79425357494836,6.796116504854369,37.62376237623762
TCD,Chad,35.9,51.1,26.5,60.3,21.0,33.5,4.4,31.2,42.7,164.0,28.338779544055548,7.317073170731707,10.429447852760736
TGO,Togo,35.7,47.1,25.5,54.8,28.5,26.7,17.8,26.4,40.3,148.0,31.639705412333328,10.95890410958904,29.25170068027211
THA,Thailand,45.7,51.3,35.2,45.9,46.0,25.4,51.3,33.6,58.8,,,,
TJK,Tajikistan,32.3,47.3,21.9,53.7,18.5,17.3,31.1,22.8,57.0,364.0,,28.650137741046834,53.888888888888886
TKM,Turkmenistan,40.6,40.6,54.0,39.2,29.6,54.0,58.2,48.7,48.1,311.0,,11.074918566775244,15.789473684210526
TLS,Timor-Leste,49.9,47.9,36.4,44.4,65.2,38.2,33.1,39.7,48.8,213.0,27.46493722717777,2.3474178403755865,41.9811320754717
TON,Tonga,40.4,34.3,58.4,15.7,32.5,60.2,49.7,32.0,49.9,150.0,,10.0,51.33333333333333
TTO,Trinidad and Tobago,52.5,49.6,77.2,49.5,36.1,87.1,59.8,11.8,22.5,114.0,,2.6548672566371683,11.607142857142858
TUN,Tunisia,45.3,47.3,46.6,38.1,41.4,44.3,61.5,30.8,40.2,645.0,,11.23244929797192,18.779342723004692
TUR,Turkiye,37.2,34.7,41.9,20.0,37.0,34.8,63.0,29.7,59.2,1416.0,,9.581263307310149,14.163701067615659
TWN,Taiwan,50.1,51.5,49.9,38.4,48.4,40.1,69.0,69.7,60.3,612.0,,29.18032786885246,53.78006872852234
TZA,Tanzania,43.6,60.7,25.1,65.3,32.5,23.8,20.6,24.1,48.5,600.0,27.34082221718888,22.31543624161074,61.34453781512605
UGA,Uganda,35.8,45.6,18.5,51.9,35.7,13.8,23.6,24.3,48.3,,,,
UKR,Ukraine,54.6,58.9,47.9,53.8,53.9,39.9,73.7,22.2,76.4,,,,
URY,Uruguay,44.1,39.0,57.6,28.9,40.6,52.3,76.5,30.9,58.2,360.0,,10.30640668523677,44.44444444444444
USA,United States of America,57.2,53.5,72.3,40.7,50.1,65.8,96.2,41.7,83.0,2697.0,,14.979454613373179,48.00596347372345
UZB,Uzbekistan,42.6,48.4,38.2,44.0,37.5,27.5,72.8,28.7,57.4,1008.0,,46.6933867735471,41.33738601823708
VCT,Saint Vincent and the Grenadines,54.2,50.6,64.5,35.1,49.9,73.9,51.3,37.1,76.9,,,,
VEN,Venezuela,53.3,61.7,50.1,61.3,43.5,54.1,47.8,10.3,46.1,,,,
VNM,Viet Nam,24.6,27.8,27.0,24.8,17.9,15.4,54.3,46.1,73.0,1028.0,39.94743945988888,19.526627218934912,25.77733199598796
VUT,Vanuatu,45.0,37.0,49.5,18.1,53.7,57.5,32.4,21.9,42.7,111.0,21.46146507394444,6.730769230769231,32.075471698113205
WSM,Samoa,47.1,37.7,57.8,25.6,51.3,57.8,56.7,55.7,57.1,157.0,22.730206370600005,5.128205128205128,34.394904458598724
ZAF,South Africa,42.7,49.3,24.4,39.5,48.0,20.3,25.0,34.5,57.2,,,,
ZMB,Zambia,46.7,67.0,19.1,83.7,39.4,16.6,21.5,25.2,44.1,,,,
ZWE,Zimbabwe,51.6,66.3,23.0,70.2,53.5,22.7,19.5,31.8,35.5,,,,
